INSERT INTO effects (id, name, effect_type, value, value_type, scaling_factor, duration, description) VALUES
-- Buffs (id 1–35)
(1, 'Increase Health', 'buff', 10, 'percentage', 1.0, 1, 'Increases Health by [value]% for [duration] turn.'),
(2, 'Increase Physical Attack', 'buff', 10, 'percentage', 1.0, 1, 'Increases Physical Attack by [value]% for [duration] turn.'),
(3, 'Increase Physical Defense', 'buff', 10, 'percentage', 1.0, 1, 'Increases Physical Defense by [value]% for [duration] turn.'),
(4, 'Increase Magical Attack', 'buff', 10, 'percentage', 1.0, 1, 'Increases Magical Attack by [value]% for [duration] turn.'),
(5, 'Increase Magical Defense', 'buff', 10, 'percentage', 1.0, 1, 'Increases Magical Defense by [value]% for [duration] turn.'),
(6, 'Increase Chemical Attack', 'buff', 10, 'percentage', 1.0, 1, 'Increases Chemical Attack by [value]% for [duration] turn.'),
(7, 'Increase Chemical Defense', 'buff', 10, 'percentage', 1.0, 1, 'Increases Chemical Defense by [value]% for [duration] turn.'),
(8, 'Increase Atomic Attack', 'buff', 10, 'percentage', 1.0, 1, 'Increases Atomic Attack by [value]% for [duration] turn.'),
(9, 'Increase Atomic Defense', 'buff', 10, 'percentage', 1.0, 1, 'Increases Atomic Defense by [value]% for [duration] turn.'),
(10, 'Increase Mental Attack', 'buff', 10, 'percentage', 1.0, 1, 'Increases Mental Attack by [value]% for [duration] turn.'),
(11, 'Increase Mental Defense', 'buff', 10, 'percentage', 1.0, 1, 'Increases Mental Defense by [value]% for [duration] turn.'),
(12, 'Increase Speed', 'buff', 10, 'percentage', 1.0, 1, 'Increases Speed by [value]% for [duration] turn.'),
(13, 'Increase Critical Damage Rate', 'buff', 10, 'percentage', 1.0, 1, 'Increases Critical Damage Rate by [value]% for [duration] turn.'),
(14, 'Increase Critical Rate', 'buff', 10, 'percentage', 1.0, 1, 'Increases Critical Rate by [value]% for [duration] turn.'),
(15, 'Increase Penetration Rate', 'buff', 10, 'percentage', 1.0, 1, 'Increases Penetration Rate by [value]% for [duration] turn.'),
(16, 'Increase Evasion Rate', 'buff', 10, 'percentage', 1.0, 1, 'Increases Evasion Rate by [value]% for [duration] turn.'),
